Название вакансии,URL,Название компании,Описание
Python Web Developer,https://spb.hh.ru/vacancy/34873200?query=Python, Soshace,Safety with regular payments and reliable clients. We use time-tracker to get information on your working hours.  3+ years of professional software development experience with Python. 1+ year of professional experience with Django. 
Python-разработчик,https://spb.hh.ru/vacancy/34200903?query=Python,АО НИИ МАСШТАБ,"Реализация нового функционала в backend части продукта компании. Уверенное знание python3. Базовые навыки администрирования Linux. Опыт работы с одним или несколькими python веб-фреймворками (django, flask, bottle..."
Python Developer,https://spb.hh.ru/vacancy/34767945?query=Python, Hype Auditor,"Внедрение новых data-science сервисов и моделей в production. Разработка Proof-of-Concept новых моделей и продуктов. Разработка и поддержка... Python 3, Flask. MySql. MongoDB. ElasticSearch. ClickHouse. Отличное знание Python 3. Опыт веб-разработки (Flask). Английский на уровне чтения документации..."
Разработчик Python,https://spb.hh.ru/vacancy/33610810?query=Python," Вяртсиля, Центр цифровых технологий","Разработка, внедрение и сопровождение фреймворков, библиотек, сетевых сервисов и программных эмуляторов для задач системной интеграции и автоматизированного тестирования. Уверенное владения Python 3. Знание основ и шаблонов проектирования ПО, понимания ООП. Понимание основных алгоритмов и структур данных. "
Python-разработчик,https://spb.hh.ru/vacancy/34558965?query=Python, Emlid,"Разработка с использованием Python/Flask. Работа над REST API. Системное программирование под Linux. Работа с периферийными устройствами (Bluetooth, LoRa, Wi... Хорошее знание Python и 1-2 года опыта работы с ним. Опыт системного программирования на любом языке программирования. "
Python Developer in Testing,https://spb.hh.ru/vacancy/34623531?query=Python, Cindicator,"Просмотр и ведение всей проектной документации в соответствии с процедурами отдела. - Подготовка базы данных и среды для тестирования. - Python на... ...производительности, такими как Jmeter, yandex Tank. - Опыт работы с GNU / Linux, GitLab, C ++ (базовый уровень), python (pytest + pandas)."
Python web-developer,https://spb.hh.ru/vacancy/34779899?query=Python,ООО АвтоТрансИнфо,"Задачи по системе электронного документооборота, мессенджеру, информационному изданию и по плану еще много интеграционных проектов впереди. Разработка ведется в автоматизированной... Уверенное владение python (3.4+). Знакомство с NoSQL (CAP-теорема не пустой звук). Опыт работы с системами контроля версий..."
Python developer в команду R&D,https://spb.hh.ru/vacancy/34647014?query=Python,ООО АвтоТрансИнфо,"Регулярные образовательные мероприятия: митапы, курсы, лекции итд. Вознаграждение за улучшения, приносимые рабочим процессам в свободное время. Будет шикарно, если знаешь (если не знаешь - научим): Как деплоить при помощи ansible или gitlab-ci. Веб: html/js/React..."
Junior python разработчик,https://spb.hh.ru/vacancy/34274386?query=Python,"ПАО МегаФон, IT",Разрабатывать программное обеспечения для обработки и анализа машинно-генерируемых данных на основе платформы splunk. Ведение проектов в федеральном центре обеспечения... У нас есть команда экспертов в организации и обеспечению роуминга и сейчас нам нужен эксперт со знанием Python для того...
Junior Python Developer (Django),https://spb.hh.ru/vacancy/34681187?query=Python, Акрибия,Проектирование и разработка нестандартных распределённых веб-приложений. Проектирование и реализация REST API. Построение связей между различными сервисами. Взаимодействие с тестовым... Опыт работы с Python/Django от 1 года. Опыт работы с REST API. Опыт работы в операционных системах семейства Linux. 
Middle Python developer,https://spb.hh.ru/vacancy/34463436?query=Python, FinPay,"Разработка архитектуры приложений на всех этапах, согласно утвержденному ТЗ. Опыт коммерческой разработки на Python/Django от 2-х лет. Знания SQL (Postgres), Django ORM. Опыт работы с MongoDB, Redis..."
Senior Python разработчик,https://spb.hh.ru/vacancy/34792410?query=Python, CS.MONEY," Отличные знания Python 3, Flask, SQL. Опыт в написание тестов (pytest, unittest). Умение оптимизировать SQL запросы. Опыт работы с брокерами..."
Python Middle Developer (backend программист),https://spb.hh.ru/vacancy/34597971?query=Python,ООО Умный полис,"Распределенная архитектура, позволяющая обрабатывать миллионы запросов (автоматизации развёртывания, масштабирования и управления контейнеризированными приложениями). Используем технологии blockchain для учета фин.  "
Senior Python developer,https://spb.hh.ru/vacancy/34511259?query=Python, FinPay,"Разработка архитектуры приложений на всех этапах, согласно утвержденному ТЗ. Опыт коммерческой разработки на Python/Django от 5-и лет. Экспертный уровень знаний SQL (Postgres), Django ORM. Продвинутые знания MongoDB..."
Senior/Lead Fullstack Python Engineer,https://spb.hh.ru/vacancy/33983515?query=Python, Spark Equation,"Разработка новых проектов, участие в тестировании и развертывании. Разработка архитектурных решений, практик и стандартов. Код ревью. Контроль над внедрением технических... Хорошие знания нескольких Python фреймворков. Хорошие знания нескольких frontend фреймворков. Хорошие коммуникативные навыки. Отличные знания стека Python. Знания и опыт..."
Python developer,https://spb.hh.ru/vacancy/34507506?query=Python, B2Broker Санкт-Петербург," Имеет опыт коммерческой разработки на Python 3 от 6 лет. Знает и умеет использовать: итераторы, генераторы, потоки. Отлично владеет знаниями..."
Computer Vision Engineer,https://spb.hh.ru/vacancy/34353964?query=Python, Varwin,"Занимаемся тестированием и отладкой отдельных модулей, профилированием и оптимизацией кода, оптимизацией связанности в многофайловом решении, написанием unit-тестов. Категорически приветствуется владение библиотеками g2o, GTSAM или ceres-solver. Приветствуется знание C#, Python, Matlab/Octave.Приветствуется навыки разработки под..."
Программист Python,https://spb.hh.ru/vacancy/34512111?query=Python,ООО КриптоЮниверс, Умение здраво оценивать свои силы при выставлении сроков выполнения задач.
Стажер-программист Python,https://spb.hh.ru/vacancy/34511071?query=Python, Quest Software,"Develop features for SaaS product, cover by acceptance tests and automate deployment. Work in the team that uses the Agile... Programming experience on Python. Experience with Linux (Ubuntu, Alpine, CentOS …). Reading technical literature in English."
Junior Python разработчик,https://spb.hh.ru/vacancy/34575429?query=Python, 404 Group,"Работа с высоконагруженной системой, а не просто с сайтами и скриптами. Работа с HightLoad проектами. Работа с аналитическими библиотеками: pandas... Что мы хотим видеть в нашем будущем коллеге: Опыт разработки от 1 года на Python 3 (3.5 +). "
